initial_stop_percent,stop_increment,traders,traders vencedores,ganho Médio,perda médio,retorno
1,10,22,9,267.22222222222223,-107.5,11.15
1,20,23,8,278.875,-102.21428571428571,8.0
1,30,23,8,278.875,-102.21428571428571,8.0
1,40,23,8,278.875,-95.53333333333333,7.9799999999999995
1,50,23,8,278.875,-90.93333333333334,8.67
1,60,23,9,255.33333333333334,-87.71428571428571,10.7
1,70,23,9,249.88888888888889,-86.71428571428571,10.35
1,80,23,10,228.9,-85.61538461538461,11.76
1,90,23,10,228.9,-82.3076923076923,12.19
1,100,23,10,224.3,-82.3076923076923,11.73
1,110,23,10,224.3,-82.3076923076923,11.73
1,120,23,10,207.0,-82.3076923076923,10.0
1,130,23,10,207.0,-82.3076923076923,10.0
1,140,23,10,207.0,-82.3076923076923,10.0
1,150,23,11,200.63636363636363,-84.75,11.899999999999999
1,160,23,11,166.45454545454547,-84.75,8.14
1,170,23,11,164.0909090909091,-74.25,9.139999999999999
1,180,23,12,157.41666666666666,-72.81818181818181,10.879999999999999
1,190,23,11,165.63636363636363,-67.5,10.12
2,10,22,8,289.25,-114.92307692307692,8.200000000000001
2,20,22,8,289.25,-114.92307692307692,8.200000000000001
2,30,22,7,297.57142857142856,-105.07142857142857,6.12
2,40,22,7,297.57142857142856,-105.5,6.0600000000000005
2,50,22,7,297.57142857142856,-104.92857142857143,6.140000000000001
2,60,23,8,278.875,-97.06666666666666,7.75
2,70,23,8,278.875,-97.06666666666666,7.75
2,80,23,9,252.55555555555554,-103.85714285714286,8.19
2,90,23,9,252.55555555555554,-103.85714285714286,8.19
2,100,23,10,231.3,-109.76923076923077,8.86
2,110,23,10,231.3,-109.76923076923077,8.86
2,120,23,10,231.5,-102.0,9.89
2,130,23,11,208.36363636363637,-90.16666666666667,12.1
2,140,23,10,220.1,-81.92307692307692,11.360000000000001
2,150,23,10,202.8,-83.3076923076923,9.45
2,160,23,10,202.8,-83.3076923076923,9.45
2,170,23,10,214.2,-83.3076923076923,10.59
2,180,23,10,215.9,-83.15384615384616,10.780000000000001
2,190,23,11,200.63636363636363,-82.33333333333333,12.19
3,10,22,10,259.8,-155.27272727272728,8.9
3,20,22,10,259.8,-145.0,10.03
3,30,22,9,268.0,-136.33333333333334,7.76
3,40,22,8,289.25,-120.84615384615384,7.430000000000001
3,50,22,7,297.57142857142856,-113.71428571428571,4.91
3,60,22,7,297.57142857142856,-110.78571428571429,5.319999999999999
3,70,22,7,297.57142857142856,-103.53333333333333,5.3
3,80,22,7,297.57142857142856,-103.73333333333333,5.27
3,90,22,7,297.57142857142856,-103.73333333333333,5.27
3,100,22,8,265.625,-110.42857142857143,5.79
3,110,23,8,272.75,-109.46666666666667,5.4
3,120,23,10,231.3,-115.6923076923077,8.09
3,130,23,10,242.7,-115.6923076923077,9.229999999999999
3,140,23,10,231.5,-115.6923076923077,8.110000000000001
3,150,23,10,226.7,-115.6923076923077,7.630000000000001
3,160,23,11,208.36363636363637,-113.08333333333333,9.35
3,170,23,11,208.36363636363637,-109.5,9.78
3,180,23,11,208.36363636363637,-103.75,10.47
3,190,23,11,194.36363636363637,-98.25,9.59
4,10,19,9,272.3333333333333,-174.44444444444446,8.81
4,20,20,9,286.0,-171.7,8.57
4,30,20,9,286.0,-169.8,8.76
4,40,20,9,286.0,-169.8,8.76
4,50,20,9,286.0,-156.1,10.13
4,60,20,9,286.0,-142.7,11.469999999999999
4,70,20,7,308.14285714285717,-129.83333333333334,5.99
4,80,20,7,308.14285714285717,-128.66666666666666,6.13
4,90,20,7,308.14285714285717,-115.3076923076923,6.58
4,100,20,6,343.1666666666667,-112.85714285714286,4.79
4,110,20,7,300.14285714285717,-121.46153846153847,5.220000000000001
4,120,20,7,300.14285714285717,-121.92307692307692,5.16
4,130,20,7,300.14285714285717,-121.92307692307692,5.16
4,140,20,8,267.625,-121.75,6.800000000000001
4,150,21,8,284.5,-123.76923076923077,6.67
4,160,21,8,282.125,-119.92307692307692,6.98
4,170,21,8,275.0,-116.3076923076923,6.88
4,180,21,10,226.8,-118.27272727272727,9.67
4,190,21,10,226.8,-118.27272727272727,9.67
